Row Label,County,Edward Putka
Memorial,CZ,207
Windemere,CZ,421
Modrow,CZ,267
Ostrander,CZ,321
Baltimore,CZ,306
Magnolia,CZ,465
Hudson,CZ,350
Lake,CZ,266
Douglas,CZ,233
Kessler,CZ,380
St. Helens,CZ,159
Woodage,CZ,208
Arkansas,CZ,125
Olson,CZ,201
Woodland South,CZ,322
Tunstall,CZ,113
Brynion,CZ,215
Marigold,CZ,420
Crawford,CZ,296
Chinook,CZ,331
Ridgecrest,CZ,20
Cloverdale,CZ,238
Elk Ridge,CZ,3
Woodland North,CZ,379
West Kelso,CZ,93
Ponderosa,CZ,265
Owl Creek,CZ,384
Willow Grove,CZ,94
Robbins,CZ,421
Powell,CZ,270
Ocean Beach,CZ,289
Sparks,CZ,188
Beacon,CZ,398
Harris,CZ,255
Delameter,CZ,263
Ryderwood,CZ,136
Redpath,CZ,245
Nevada,CZ,275
Sandy Bend,CZ,281
Mint Valley,CZ,485
Burcham,CZ,528
Columbia Valley Gdns,CZ,221
Lexington,CZ,292
Rose Valley,CZ,194
Mt. Solo,CZ,91
Haussler,CZ,202
Silver Lake,CZ,482
Ammons,CZ,210
Kalama North,CZ,249
Yale,CZ,215
Bakers,CZ,13
Sacajawea,CZ,570
Alabama,CZ,216
Kalama South,CZ,333
Mill,CZ,397
Caples,CZ,100
Lone Oak,CZ,168
Lewis River,CZ,350
Industrial,CZ,0
Castle Rock,CZ,386
Stella,CZ,270
Toutle,CZ,374
Tower,CZ,432
Columbia Heights,CZ,188
Pacific,CZ,343
McGowan,CZ,59
Hillcrest,CZ,523
Boondox,CZ,10
View,CZ,206
Coal Creek,CZ,381
Laurel,CZ,364
Carrolls,CZ,303
Total,CZ,19258
