Row Label,County,Eddie Yoon,Charles W. Johnson
DAMMAN,KS,48,200
VANTAGE,KS,4,16
PARK,KS,72,199
TEANAWAY,KS,40,170
ELLENSBURG 20,KS,21,47
CLE ELUM 4,KS,45,154
ELLENSBURG 22,KS,35,104
ELLENSBURG 23,KS,52,115
CLE ELUM 1,KS,41,100
ELLENSBURG 25,KS,77,183
CLE ELUM 3,KS,12,34
CLE ELUM 2,KS,16,67
SOUTH CLE ELUM,KS,31,117
FAIRVIEW,KS,38,119
RONALD,KS,21,89
NORTHEAST FAIRVIEW,KS,58,213
ELLENSBURG 24,KS,78,213
ELLENSBURG 9,KS,26,48
ELLENSBURG 8,KS,23,43
RIDGEWAY,KS,81,270
ELLENSBURG 1,KS,17,28
ELLENSBURG 2,KS,21,47
ELLENSBURG 5,KS,28,41
ELLENSBURG 4,KS,14,24
ELLENSBURG 7,KS,12,30
ELLENSBURG 6,KS,18,38
EAST SANDERS,KS,58,193
THRALL,KS,44,170
ELLENSBURG 21,KS,27,66
MOUNTAIN,KS,20,78
HYAK,KS,21,52
ROSLYN 1,KS,36,96
ROSLYN 2,KS,34,78
KITTITAS 1,KS,25,77
KACHESS,KS,22,58
MANASTASH,KS,43,147
DENMARK,KS,107,247
ROSLYN OUTLYING,KS,6,39
SOUTH ELLENSBURG,KS,75,224
DRY CREEK,KS,73,231
NORTH CENTRAL,KS,71,132
ELLENSBURG 11,KS,29,68
ELLENSBURG 10,KS,26,76
ELLENSBURG 13,KS,22,55
ELLENSBURG 12,KS,24,65
ELLENSBURG 15,KS,24,96
ELLENSBURG 14,KS,25,77
ELLENSBURG 17,KS,62,99
ELLENSBURG 16,KS,57,142
ELLENSBURG 19,KS,69,176
ELLENSBURG 18,KS,14,15
WESTSIDE,KS,83,214
EASTON,KS,51,201
PEOH POINT,KS,58,171
SANDERS,KS,17,81
KITTITAS 2,KS,24,100
NORTH ELLENSBURG,KS,90,232
THORP,KS,57,173
SWAUK,KS,39,114
Total,KS,2362,6752
