Row Label,PrecinctCode,County,Registered Voters,Judi Hangartner,Lindsey Schromen-Wawrin,Norma E. Turner,Maggie Roth,Susan Shotthafer,Steven Burke,Patti Morris,Kaj Ahlburg,Selinda Barkhuis,Stephanie Noblin,Diane Haffner,Marcia Farrell,Glenn Wiggins,Scott A. Clausen,Sean Ryan,Robert (Rob) Robertsen,Dennis R. McBride
Total,-1,CM,NULL,875,1559,3094,2763,1325,2256,1978,1895,2144,1615,2035,601,3389,1511,1243,1830,1595
PORT ANGELES 101,101,CM,NULL,36,59,141,130,66,101,84,86,95,73,88,23,181,72,45,84,61
PORT ANGELES 102,102,CM,NULL,68,120,229,161,76,152,147,102,151,119,148,48,221,95,83,121,128
PORT ANGELES 103,103,CM,NULL,69,129,248,191,94,154,141,145,164,98,136,48,271,103,105,115,118
PORT ANGELES 104,104,CM,NULL,47,94,175,113,73,105,95,82,114,81,105,37,156,48,58,89,69
PORT ANGELES 105,105,CM,NULL,59,120,244,163,85,152,151,108,159,99,138,41,241,112,75,133,94
PORT ANGELES 106,106,CM,NULL,42,93,200,132,72,141,113,93,128,63,111,23,221,80,63,96,80
PORT ANGELES 107,107,CM,NULL,66,140,250,183,87,184,181,110,182,97,139,40,247,105,79,149,95
AGNEW 201,201,CM,NULL,43,52,110,154,54,112,90,100,93,73,94,29,147,83,66,70,90
BELLEVIEW 205,205,CM,NULL,52,80,193,176,75,135,125,104,111,101,114,27,224,94,80,107,103
BLUE MOUNTAIN 209,209,CM,NULL,49,78,141,162,74,96,100,125,108,111,119,32,176,96,71,114,103
BLUFFS 210,210,CM,NULL,33,50,77,101,43,88,46,68,60,57,69,24,88,53,41,49,61
CLARK 216,216,CM,NULL,20,32,73,61,25,58,53,35,60,24,65,16,62,26,33,39,43
DEER PARK 220,220,CM,NULL,55,100,182,150,89,129,114,108,124,106,110,38,206,88,63,135,104
FAIRVIEW 232,232,CM,NULL,53,84,181,161,83,142,91,111,112,100,118,32,216,106,78,101,85
MONTERRA 249,249,CM,NULL,48,72,138,175,81,119,103,119,100,108,119,36,153,87,89,95,87
MOUNT ANGELES 250,250,CM,NULL,16,72,130,91,32,88,64,78,80,61,79,15,132,37,37,67,40
MOUNT PLEASANT 251,251,CM,NULL,33,64,153,182,75,116,93,128,121,85,97,23,189,70,51,75,76
OBRIEN 253,253,CM,NULL,39,51,115,147,75,107,89,122,96,90,88,25,158,73,57,90,88
ROBIN HILL 266,266,CM,NULL,47,69,114,130,66,77,98,71,86,69,98,44,100,83,69,101,70
