Row Label,PrecinctCode,County,Registered Voters,Deanna C. Walter
Total,-1,CH,NULL,15194
100,100,CH,NULL,6
110,110,CH,NULL,190
111,111,CH,NULL,59
112,112,CH,NULL,17
113,113,CH,NULL,36
114,114,CH,NULL,248
115,115,CH,NULL,22
116,116,CH,NULL,90
120,120,CH,NULL,191
121,121,CH,NULL,178
122,122,CH,NULL,102
123,123,CH,NULL,24
124,124,CH,NULL,41
125,125,CH,NULL,360
126,126,CH,NULL,47
127,127,CH,NULL,75
128,128,CH,NULL,39
129,129,CH,NULL,134
131,131,CH,NULL,35
132,132,CH,NULL,24
133,133,CH,NULL,224
134,134,CH,NULL,365
135,135,CH,NULL,359
136,136,CH,NULL,4
140,140,CH,NULL,104
141,141,CH,NULL,8
142,142,CH,NULL,28
143,143,CH,NULL,3
144,144,CH,NULL,19
145,145,CH,NULL,18
146,146,CH,NULL,66
147,147,CH,NULL,359
148,148,CH,NULL,149
149,149,CH,NULL,167
150,150,CH,NULL,36
151,151,CH,NULL,3
152,152,CH,NULL,3
153,153,CH,NULL,483
154,154,CH,NULL,422
155,155,CH,NULL,146
156,156,CH,NULL,43
157,157,CH,NULL,348
158,158,CH,NULL,159
159,159,CH,NULL,8
161,161,CH,NULL,27
162,162,CH,NULL,23
163,163,CH,NULL,19
164,164,CH,NULL,134
165,165,CH,NULL,83
171,171,CH,NULL,10
172,172,CH,NULL,11
173,173,CH,NULL,14
174,174,CH,NULL,245
175,175,CH,NULL,424
181,181,CH,NULL,314
182,182,CH,NULL,269
183,183,CH,NULL,153
190,190,CH,NULL,28
210,210,CH,NULL,211
220,220,CH,NULL,257
310,310,CH,NULL,142
320,320,CH,NULL,216
330,330,CH,NULL,241
410,410,CH,NULL,292
420,420,CH,NULL,310
430,430,CH,NULL,410
440,440,CH,NULL,463
450,450,CH,NULL,388
460,460,CH,NULL,359
480,480,CH,NULL,383
490,490,CH,NULL,580
510,510,CH,NULL,212
520,520,CH,NULL,566
530,530,CH,NULL,416
540,540,CH,NULL,335
560,560,CH,NULL,358
580,580,CH,NULL,260
590,590,CH,NULL,340
610,610,CH,NULL,255
710,710,CH,NULL,239
720,720,CH,NULL,348
730,730,CH,NULL,383
1149,1149,CH,NULL,26
1150,1150,CH,NULL,6
1151,1151,CH,NULL,2
