Row Label,PrecinctCode,County,Registered Voters,Derek M. Young,Stan Flemming
Total,-1,PI,NULL,20808,20715
26-301,26301,PI,NULL,89,128
26-302,26302,PI,NULL,420,395
26-303,26303,PI,NULL,333,409
26-304,26304,PI,NULL,415,427
26-305,26305,PI,NULL,388,418
26-315,26315,PI,NULL,298,372
26-316,26316,PI,NULL,309,381
26-317,26317,PI,NULL,251,353
26-318,26318,PI,NULL,242,271
26-319,26319,PI,NULL,245,320
26-320,26320,PI,NULL,274,319
26-321,26321,PI,NULL,327,465
26-322,26322,PI,NULL,301,365
26-323,26323,PI,NULL,331,399
26-324,26324,PI,NULL,261,355
26-325,26325,PI,NULL,258,320
26-326,26326,PI,NULL,330,329
26-327,26327,PI,NULL,295,325
26-328,26328,PI,NULL,185,369
26-329,26329,PI,NULL,187,455
26-330,26330,PI,NULL,187,232
26-331,26331,PI,NULL,76,104
26-332,26332,PI,NULL,262,287
26-333,26333,PI,NULL,260,372
26-334,26334,PI,NULL,274,367
26-335,26335,PI,NULL,231,253
26-336,26336,PI,NULL,282,393
26-337,26337,PI,NULL,307,363
26-338,26338,PI,NULL,226,312
26-339,26339,PI,NULL,53,54
26-340,26340,PI,NULL,319,386
26-341,26341,PI,NULL,266,315
26-342,26342,PI,NULL,325,341
26-343,26343,PI,NULL,248,320
26-344,26344,PI,NULL,44,25
26-345,26345,PI,NULL,264,335
26-346,26346,PI,NULL,241,261
26-347,26347,PI,NULL,201,297
26-348,26348,PI,NULL,268,325
26-349,26349,PI,NULL,243,355
26-350,26350,PI,NULL,259,361
26-351,26351,PI,NULL,261,339
26-352,26352,PI,NULL,266,323
27-401,27401,PI,NULL,173,107
27-404,27404,PI,NULL,137,54
27-405,27405,PI,NULL,336,266
27-406,27406,PI,NULL,414,370
27-407,27407,PI,NULL,350,196
27-408,27408,PI,NULL,329,255
27-409,27409,PI,NULL,301,245
27-410,27410,PI,NULL,356,209
27-411,27411,PI,NULL,383,334
27-412,27412,PI,NULL,275,235
27-413,27413,PI,NULL,332,231
27-414,27414,PI,NULL,389,234
27-415,27415,PI,NULL,367,268
27-416,27416,PI,NULL,366,235
27-417,27417,PI,NULL,401,203
27-418,27418,PI,NULL,353,200
27-419,27419,PI,NULL,368,213
27-420,27420,PI,NULL,459,216
27-421,27421,PI,NULL,304,168
27-422,27422,PI,NULL,399,302
27-423,27423,PI,NULL,438,202
27-431,27431,PI,NULL,120,92
28-501,28501,PI,NULL,351,304
28-502,28502,PI,NULL,370,257
28-503,28503,PI,NULL,366,256
28-504,28504,PI,NULL,298,307
28-505,28505,PI,NULL,336,383
28-506,28506,PI,NULL,340,287
28-507(*),28507,PI,NULL,0,0
28-575(*),28575,PI,NULL,0,0
