Row Label,PrecinctCode,County,Registered Voters,Wade W. Magers
Total,-1,LI,NULL,3774
ALMIRA RURAL,1,LI,NULL,33
BLUESTEM,2,LI,NULL,14
CANBY,3,LI,NULL,33
CRESTON RURAL,4,LI,NULL,45
WHEATLAND,5,LI,NULL,76
DAVENPORT RURAL,6,LI,NULL,77
DOWNS,7,LI,NULL,21
EARL,8,LI,NULL,32
EDWALL,9,LI,NULL,63
EGYPT,10,LI,NULL,104
ENOS,11,LI,NULL,9
GOVAN,12,LI,NULL,20
GRAND COULEE,13,LI,NULL,31
GRAVELLE,14,LI,NULL,36
HARR RURAL,15,LI,NULL,55
HAWK CREEK,16,LI,NULL,57
IRBY,17,LI,NULL,23
KELLER,18,LI,NULL,62
LAKEVIEW,19,LI,NULL,107
LAMONA,20,LI,NULL,24
EAST LARENE,21,LI,NULL,81
WEST LARENE,22,LI,NULL,33
LAYTON,23,LI,NULL,19
LONG LAKE,24,LI,NULL,61
MOHLER,25,LI,NULL,45
MONDOVI,26,LI,NULL,69
ODESSA RURAL,27,LI,NULL,84
PEACH,28,LI,NULL,114
N REARDAN RURAL,29,LI,NULL,33
S REARDAN RURAL,30,LI,NULL,46
RIVERVIEW,31,LI,NULL,126
SEVEN BAYS,32,LI,NULL,62
SHERMAN,33,LI,NULL,61
SPRAGUE RURAL,34,LI,NULL,98
SPRING CREEK,35,LI,NULL,66
WILBUR RURAL,36,LI,NULL,81
WAUKON,37,LI,NULL,41
WILSON CREEK,38,LI,NULL,31
ALMIRA IN,39,LI,NULL,87
CRESTON IN,40,LI,NULL,77
DAVENPORT IN,41,LI,NULL,501
HARRINGTON IN,42,LI,NULL,134
ODESSA IN,43,LI,NULL,298
REARDAN IN,44,LI,NULL,185
SPRAGUE IN,45,LI,NULL,101
WILBUR IN,46,LI,NULL,318
