Row Label,PrecinctCode,County,Registered Voters,Holly Schiffer,Tiffany Rogers
Total,-1,AS,NULL,4304,2906
ANATONE,1,AS,NULL,97,52
RURAL ASOTIN,3,AS,NULL,100,64
W ASOTIN,4,AS,NULL,108,67
SWALLOWS NEST,5,AS,NULL,271,162
ASOTIN #1,101,AS,NULL,117,105
ASOTIN #2,102,AS,NULL,131,114
CLARKSTON #1,201,AS,NULL,102,76
CLARKSTON #2,202,AS,NULL,138,94
CLARKSTON #3,203,AS,NULL,128,106
CLARKSTON #4,204,AS,NULL,164,89
CLARKSTON #5,205,AS,NULL,88,65
CLARKSTON #6,206,AS,NULL,136,107
CLARKSTON #7,207,AS,NULL,83,75
CLARKSTON #8,208,AS,NULL,112,103
CLARKSTON HTS #1,301,AS,NULL,196,120
CLARKSTON HTS #2,302,AS,NULL,341,192
CLARKSTON HTS #3,303,AS,NULL,92,29
CLARKSTON HTS #4,304,AS,NULL,174,125
CLARKSTON HTS #5,305,AS,NULL,368,183
CLARKSTON HTS #6,306,AS,NULL,284,198
CLARKSTON HTS #7,307,AS,NULL,219,147
SOUTH CLARKSTON #1,401,AS,NULL,146,112
SOUTH CLARKSTON #2,402,AS,NULL,192,141
WEST CLARKSTON #1,501,AS,NULL,143,139
WEST CLARKSTON #2,502,AS,NULL,162,115
WEST CLARKSTON #3,503,AS,NULL,212,126
