Row Label,PrecinctCode,County,Registered Voters,Adam Smith,Doug Basler
Total,-1,KI,NULL,3629,2445
Total,-1,KI,NULL,3629,2445
27-448,27448,PI,NULL,10,9
27-460,27460,PI,NULL,365,229
27-461,27461,PI,NULL,395,255
27-462,27462,PI,NULL,352,236
27-463,27463,PI,NULL,257,181
27-464,27464,PI,NULL,322,179
27-465,27465,PI,NULL,236,208
27-466,27466,PI,NULL,275,176
27-467,27467,PI,NULL,274,203
27-468,27468,PI,NULL,273,165
27-471,27471,PI,NULL,13,4
27-475,27475,PI,NULL,321,181
27-476,27476,PI,NULL,277,118
27-477,27477,PI,NULL,259,301
