Row Label,PrecinctCode,County,Registered Voters,Satpal Sidhu,Luanne VanWerven
Total,-1,WM,NULL,22740,28581
101,101,WM,NULL,292,164
102,102,WM,NULL,150,207
103,103,WM,NULL,246,227
104,104,WM,NULL,122,179
105,105,WM,NULL,128,117
106    ,106,WM,NULL,170,234
107,107,WM,NULL,210,340
108,108,WM,NULL,250,333
110,110,WM,NULL,140,269
111    ,111,WM,NULL,153,304
112,112,WM,NULL,92,155
113,113,WM,NULL,129,307
114,114,WM,NULL,83,180
115,115,WM,NULL,125,382
116,116,WM,NULL,51,261
117,117,WM,NULL,52,352
118,118,WM,NULL,100,456
119    ,119,WM,NULL,121,132
120,120,WM,NULL,123,331
121,121,WM,NULL,116,205
122,122,WM,NULL,112,198
123,123,WM,NULL,103,200
124    ,124,WM,NULL,98,208
125,125,WM,NULL,113,361
126    ,126,WM,NULL,233,384
127,127,WM,NULL,241,401
129,129,WM,NULL,185,311
130,130,WM,NULL,109,191
131,131,WM,NULL,209,358
132,132,WM,NULL,168,224
133,133,WM,NULL,238,109
134    ,134,WM,NULL,391,246
135,135,WM,NULL,235,201
136    ,136,WM,NULL,249,185
137,137,WM,NULL,254,97
138,138,WM,NULL,389,119
139,139,WM,NULL,30,228
140    ,140,WM,NULL,105,610
141    ,141,WM,NULL,156,443
142,142,WM,NULL,158,205
143    ,143,WM,NULL,178,134
144    ,144,WM,NULL,81,553
145    ,145,WM,NULL,202,434
146    ,146,WM,NULL,174,457
147,147,WM,NULL,162,326
148,148,WM,NULL,183,284
149,149,WM,NULL,145,253
150,150,WM,NULL,187,380
151,151,WM,NULL,211,389
152,152,WM,NULL,189,281
153,153,WM,NULL,165,319
154    ,154,WM,NULL,150,195
155,155,WM,NULL,122,225
156    ,156,WM,NULL,100,128
157,157,WM,NULL,121,124
158    ,158,WM,NULL,91,139
165    ,165,WM,NULL,97,163
166    ,166,WM,NULL,293,254
167    ,167,WM,NULL,36,57
183    ,183,WM,NULL,10,10
201    ,201,WM,NULL,396,314
202,202,WM,NULL,200,141
203,203,WM,NULL,265,237
204,204,WM,NULL,116,97
205,205,WM,NULL,208,123
206,206,WM,NULL,347,149
207,207,WM,NULL,242,89
208,208,WM,NULL,502,190
209,209,WM,NULL,395,116
210,210,WM,NULL,491,80
211,211,WM,NULL,250,221
212,212,WM,NULL,131,108
213,213,WM,NULL,440,201
214,214,WM,NULL,344,92
215,215,WM,NULL,431,86
216,216,WM,NULL,397,94
217,217,WM,NULL,166,201
218,218,WM,NULL,239,120
219,219,WM,NULL,294,143
220,220,WM,NULL,204,167
221,221,WM,NULL,259,239
222,222,WM,NULL,556,128
223,223,WM,NULL,287,44
224,224,WM,NULL,139,29
225,225,WM,NULL,379,80
227,227,WM,NULL,413,101
229,229,WM,NULL,333,128
233,233,WM,NULL,291,173
234,234,WM,NULL,326,211
267    ,267,WM,NULL,39,9
268,268,WM,NULL,11,12
301,301,WM,NULL,256,316
302,302,WM,NULL,309,271
303,303,WM,NULL,247,323
304    ,304,WM,NULL,93,101
401,401,WM,NULL,90,204
402    ,402,WM,NULL,133,256
501,501,WM,NULL,194,267
502,502,WM,NULL,174,231
503,503,WM,NULL,211,309
504,504,WM,NULL,111,159
505,505,WM,NULL,253,304
506    ,506,WM,NULL,211,260
507    ,507,WM,NULL,164,238
508    ,508,WM,NULL,205,298
509    ,509,WM,NULL,103,234
601,601,WM,NULL,156,576
602,602,WM,NULL,128,463
603,603,WM,NULL,115,341
604    ,604,WM,NULL,79,413
605,605,WM,NULL,65,258
606    ,606,WM,NULL,115,421
607    ,607,WM,NULL,82,403
608    ,608,WM,NULL,107,362
609    ,609,WM,NULL,127,509
610    ,610,WM,NULL,112,513
611    ,611,WM,NULL,59,340
701,701,WM,NULL,118,330
801,801,WM,NULL,106,239
