Row Label,PrecinctCode,County,Registered Voters,John Komen,Tom Farmer
Total,-1,MA,NULL,6468,8831
PICKERING,113,MA,NULL,187,243
HARSTINE,114,MA,NULL,298,334
GRAPEVIEW,115,MA,NULL,227,350
MASON LAKE,116,MA,NULL,226,204
FAIR HARBOR,117,MA,NULL,119,247
ALLYN,118,MA,NULL,251,552
VICTOR,119,MA,NULL,128,238
BELFAIR,120,MA,NULL,128,268
TIGER LAKE,121,MA,NULL,96,169
DEWATTO,122,MA,NULL,144,414
TAHUYA,123,MA,NULL,158,324
SAND HILL,124,MA,NULL,179,321
TRAIL&#39;S END,125,MA,NULL,177,334
TWANOH,126,MA,NULL,118,182
BORDEAUX,205,MA,NULL,28,45
KAMILCHE POINT,207,MA,NULL,119,112
UNION,227,MA,NULL,134,127
HOOD CANAL,229,MA,NULL,35,33
CUSHMAN,230,MA,NULL,257,266
EELLS,231,MA,NULL,13,23
MATLOCK,232,MA,NULL,155,232
DAYTON,233,MA,NULL,138,205
KAMILCHE,234,MA,NULL,81,114
ISABELLA,235,MA,NULL,94,184
AIRPORT,236,MA,NULL,274,330
JOHN&#39;S PRAIRIE,237,MA,NULL,184,168
LIMERICK,238,MA,NULL,328,306
OLYMPIC VIEW,301,MA,NULL,257,283
DOWNTOWN,302,MA,NULL,177,212
ANGLESIDE,303,MA,NULL,233,246
HILLCREST,304,MA,NULL,165,146
FAWN LAKE,306,MA,NULL,248,266
ARCADIA,308,MA,NULL,244,285
MILL CREEK,309,MA,NULL,250,327
AGATE,310,MA,NULL,209,217
OAKLAND BAY,311,MA,NULL,152,212
TIMBERLAKE,312,MA,NULL,249,303
CALLANAN,339,MA,NULL,8,9
